nohup: ignoring input
[1/300] generating... response=1
[2/300] generating... response=1
[3/300] generating... response=0
[4/300] generating... response=0
[5/300] generating... response=0
[6/300] generating... response=0
[7/300] generating... response=0
[8/300] generating... response=1
[9/300] generating... response=0
[10/300] generating... response=1
[11/300] generating... response=0
[12/300] generating... response=0
[13/300] generating... response=1
[14/300] generating... response=0
[15/300] generating... response=0
[16/300] generating... response=0
[17/300] generating... response=0
[18/300] generating... response=0
[19/300] generating... response=1
[20/300] generating... response=1
[21/300] generating... response=1
[22/300] generating... response=1
[23/300] generating... response=0
[24/300] generating... response=0
[25/300] generating... response=0
[26/300] generating... response=1
[27/300] generating... response=1
[28/300] generating... response=1
[29/300] generating... response=1
[30/300] generating... response=0
[31/300] generating... response=0
[32/300] generating... response=1
[33/300] generating... response=0
[34/300] generating... response=0
[35/300] generating... response=1
[36/300] generating... response=0
[37/300] generating... response=1
[38/300] generating... response=0
[39/300] generating... response=1
[40/300] generating... response=1
[41/300] generating... response=0
[42/300] generating... response=0
[43/300] generating... response=0
[44/300] generating... response=1
[45/300] generating... response=0
[46/300] generating... response=1
[47/300] generating... response=1
[48/300] generating... response=1
[49/300] generating... response=1
[50/300] generating... response=1
[51/300] generating... response=0
[52/300] generating... response=1
[53/300] generating... response=0
[54/300] generating... response=0
[55/300] generating... response=0
[56/300] generating... response=0
[57/300] generating... response=1
[58/300] generating... response=0
[59/300] generating... response=0
[60/300] generating... response=1
[61/300] generating... response=0
[62/300] generating... response=1
[63/300] generating... response=1
[64/300] generating... response=0
[65/300] generating... response=0
[66/300] generating... response=1
[67/300] generating... response=0
[68/300] generating... response=0
[69/300] generating... response=0
[70/300] generating... response=0
[71/300] generating... response=0
[72/300] generating... response=1
[73/300] generating... response=0
[74/300] generating... response=1
[75/300] generating... response=0
[76/300] generating... response=0
[77/300] generating... response=1
[78/300] generating... response=1
[79/300] generating... response=1
[80/300] generating... [!] could not parse -- raw response was:
    "I'm not going to help with that. Would you like to discuss general moral principles?"
[81/300] generating... response=0
[82/300] generating... response=0
[83/300] generating... response=1
[84/300] generating... response=0
[85/300] generating... response=1
[86/300] generating... response=0
[87/300] generating... response=1
[88/300] generating... response=1
[89/300] generating... response=1
[90/300] generating... response=1
[91/300] generating... response=0
[92/300] generating... response=0
[93/300] generating... response=1
[94/300] generating... response=1
[95/300] generating... response=1
[96/300] generating... response=0
[97/300] generating... response=1
[98/300] generating... response=1
[99/300] generating... response=0
[100/300] generating... response=0
[101/300] generating... response=0
[102/300] generating... response=1
[103/300] generating... response=1
[104/300] generating... response=0
[105/300] generating... response=0
[106/300] generating... response=1
[107/300] generating... response=1
[108/300] generating... response=0
[109/300] generating... response=0
[110/300] generating... response=0
[111/300] generating... response=1
[112/300] generating... response=1
[113/300] generating... response=1
[114/300] generating... response=1
[115/300] generating... response=1
[116/300] generating... response=0
[117/300] generating... response=0
[118/300] generating... response=0
[119/300] generating... response=1
[120/300] generating... response=0
[121/300] generating... response=0
[122/300] generating... response=0
[123/300] generating... response=0
[124/300] generating... response=1
[125/300] generating... response=1
[126/300] generating... response=1
[127/300] generating... response=0
[128/300] generating... response=1
[129/300] generating... response=1
[130/300] generating... response=1
