nohup: ignoring input
[models.py] Loading mistralai/Mistral-7B-Instruct-v0.2 on device: cuda
Loading weights:   0%|          | 0/291 [00:00<?, ?it/s]Loading weights:   0%|          | 1/291 [00:01<07:14,  1.50s/it]Loading weights:   4%|▍         | 11/291 [00:01<00:31,  8.99it/s]Loading weights:   5%|▌         | 16/291 [00:02<00:32,  8.47it/s]Loading weights:   8%|▊         | 22/291 [00:03<00:33,  8.05it/s]Loading weights:  11%|█         | 31/291 [00:03<00:27,  9.48it/s]Loading weights:  14%|█▎        | 40/291 [00:04<00:24, 10.10it/s]Loading weights:  17%|█▋        | 49/291 [00:05<00:22, 10.88it/s]Loading weights:  20%|█▉        | 58/291 [00:06<00:21, 10.95it/s]Loading weights:  23%|██▎       | 67/291 [00:07<00:21, 10.59it/s]Loading weights:  26%|██▌       | 76/291 [00:07<00:18, 11.92it/s]Loading weights:  27%|██▋       | 78/291 [00:07<00:17, 12.15it/s]Loading weights:  29%|██▉       | 85/291 [00:08<00:17, 11.50it/s]Loading weights:  30%|██▉       | 87/291 [00:08<00:16, 12.08it/s]Loading weights:  32%|███▏      | 94/291 [00:09<00:18, 10.92it/s]Loading weights:  35%|███▌      | 103/291 [00:10<00:16, 11.32it/s]Loading weights:  38%|███▊      | 112/291 [00:10<00:16, 11.18it/s]Loading weights:  42%|████▏     | 121/291 [00:11<00:14, 11.73it/s]Loading weights:  45%|████▍     | 130/291 [00:12<00:14, 11.38it/s]Loading weights:  48%|████▊     | 139/291 [00:13<00:13, 11.54it/s]Loading weights:  51%|█████     | 148/291 [00:13<00:12, 11.55it/s]Loading weights:  54%|█████▍    | 157/291 [00:14<00:11, 11.85it/s]Loading weights:  56%|█████▋    | 164/291 [00:14<00:08, 15.01it/s]Loading weights:  57%|█████▋    | 167/291 [00:15<00:11, 10.92it/s]Loading weights:  60%|██████    | 175/291 [00:16<00:10, 11.18it/s]Loading weights:  63%|██████▎   | 184/291 [00:16<00:09, 11.19it/s]Loading weights:  66%|██████▋   | 193/291 [00:17<00:08, 11.04it/s]Loading weights:  69%|██████▉   | 202/291 [00:18<00:07, 11.79it/s]Loading weights:  70%|███████   | 204/291 [00:18<00:07, 12.07it/s]Loading weights:  73%|███████▎  | 211/291 [00:19<00:07, 11.42it/s]Loading weights:  76%|███████▌  | 220/291 [00:20<00:06, 11.50it/s]Loading weights:  78%|███████▊  | 227/291 [00:20<00:04, 14.76it/s]Loading weights:  79%|███████▉  | 230/291 [00:20<00:05, 11.05it/s]Loading weights:  82%|████████▏ | 238/291 [00:21<00:04, 10.72it/s]Loading weights:  85%|████████▍ | 247/291 [00:22<00:04, 10.75it/s]Loading weights:  88%|████████▊ | 256/291 [00:23<00:03, 11.26it/s]Loading weights:  91%|█████████ | 265/291 [00:23<00:02, 11.48it/s]Loading weights:  94%|█████████▍| 274/291 [00:24<00:01, 11.47it/s]Loading weights:  97%|█████████▋| 283/291 [00:25<00:00, 11.51it/s]Loading weights: 100%|██████████| 291/291 [00:25<00:00, 11.40it/s]
[1/3964] generating... response=1
[2/3964] generating... response=1
[3/3964] generating... response=1
[4/3964] generating... response=1
[5/3964] generating... response=1
[6/3964] generating... response=0
[7/3964] generating... response=1
[8/3964] generating... response=1
[9/3964] generating... response=1
[10/3964] generating... response=1
[11/3964] generating... response=1
[12/3964] generating... response=1
[13/3964] generating... response=0
[14/3964] generating... response=0
[15/3964] generating... response=0
[16/3964] generating... response=1
[17/3964] generating... response=0
[18/3964] generating... response=1
[19/3964] generating... response=0
[20/3964] generating... response=1
[21/3964] generating... response=0
[22/3964] generating... response=1
[23/3964] generating... response=1
[24/3964] generating... response=1
[25/3964] generating... response=1
[26/3964] generating... response=1
[27/3964] generating... response=1
[28/3964] generating... response=0
[29/3964] generating... response=1
[30/3964] generating... response=1
[31/3964] generating... response=1
[32/3964] generating... response=0
[33/3964] generating... response=1
[34/3964] generating... response=1
[35/3964] generating... response=1
[36/3964] generating... response=1
[37/3964] generating... response=1
[38/3964] generating... response=1
[39/3964] generating... response=0
[40/3964] generating... response=1
[41/3964] generating... response=1
[42/3964] generating... response=1
[43/3964] generating... response=0
[44/3964] generating... response=1
[45/3964] generating... response=1
[46/3964] generating... response=1
[47/3964] generating... response=1
[48/3964] generating... response=1
[49/3964] generating... response=1
[50/3964] generating... response=1
[51/3964] generating... response=0
[52/3964] generating... response=1
[53/3964] generating... response=0
[54/3964] generating... response=0
[55/3964] generating... response=0
[56/3964] generating... response=0
[57/3964] generating... response=0
[58/3964] generating... response=0
[59/3964] generating... response=0
[60/3964] generating... response=1
[61/3964] generating... response=1
[62/3964] generating... response=1
[63/3964] generating... response=1
[64/3964] generating... response=0
[65/3964] generating... response=1
[66/3964] generating... response=1
[67/3964] generating... response=0
[68/3964] generating... response=0
[69/3964] generating... response=1
[70/3964] generating... response=1
[71/3964] generating... response=1
[72/3964] generating... response=1
[73/3964] generating... response=1
[74/3964] generating... response=1
[75/3964] generating... response=1
[76/3964] generating... response=1
[77/3964] generating... response=0
[78/3964] generating... response=1
[79/3964] generating... response=1
[80/3964] generating... response=1
[81/3964] generating... response=1
[82/3964] generating... response=1
[83/3964] generating... response=1
[84/3964] generating... response=0
[85/3964] generating... response=0
[86/3964] generating... response=1
[87/3964] generating... response=1
[88/3964] generating... response=0
[89/3964] generating... response=1
[90/3964] generating... response=1
[91/3964] generating... response=1
[92/3964] generating... response=0
[93/3964] generating... response=0
[94/3964] generating... response=1
[95/3964] generating... response=1
[96/3964] generating... response=1
[97/3964] generating... response=1
[98/3964] generating... response=1
[99/3964] generating... response=1
[100/3964] generating... response=0
[101/3964] generating... response=0
[102/3964] generating... response=1
[103/3964] generating... response=1
[104/3964] generating... response=0
[105/3964] generating... response=0
[106/3964] generating... response=0
[107/3964] generating... response=0
[108/3964] generating... response=1
[109/3964] generating... response=0
[110/3964] generating... response=1
[111/3964] generating... response=0
[112/3964] generating... response=1
[113/3964] generating... response=1
[114/3964] generating... response=0
[115/3964] generating... response=1
[116/3964] generating... response=1
[117/3964] generating... response=0
[118/3964] generating... response=0
[119/3964] generating... response=0
[120/3964] generating... response=1
[121/3964] generating... response=1
[122/3964] generating... response=1
[123/3964] generating... response=1
[124/3964] generating... response=1
[125/3964] generating... response=1
[126/3964] generating... response=1
[127/3964] generating... response=1
[128/3964] generating... response=1
[129/3964] generating... response=0
[130/3964] generating... response=1
[131/3964] generating... response=0
[132/3964] generating... response=0
[133/3964] generating... response=1
[134/3964] generating... response=0
[135/3964] generating... response=0
[136/3964] generating... response=1
[137/3964] generating... response=1
[138/3964] generating... response=1
[139/3964] generating... response=1
[140/3964] generating... response=1
[141/3964] generating... response=1
[142/3964] generating... response=0
[143/3964] generating... response=0
[144/3964] generating... response=1
[145/3964] generating... response=1
[146/3964] generating... response=1
[147/3964] generating... response=0
[148/3964] generating... response=1
[149/3964] generating... response=1
[150/3964] generating... response=0
[151/3964] generating... response=1
[152/3964] generating... response=1
[153/3964] generating... response=1
[154/3964] generating... response=1
[155/3964] generating... response=1
[156/3964] generating... response=1
[157/3964] generating... response=1
[158/3964] generating... response=1
[159/3964] generating... response=0
[160/3964] generating... response=1
[161/3964] generating... response=1
[162/3964] generating... response=0
[163/3964] generating... response=1
[164/3964] generating... response=0
[165/3964] generating... response=1
[166/3964] generating... response=0
[167/3964] generating... response=0
[168/3964] generating... response=0
[169/3964] generating... response=1
[170/3964] generating... response=1
[171/3964] generating... response=1
[172/3964] generating... response=0
[173/3964] generating... response=1
[174/3964] generating... response=1
[175/3964] generating... response=1
[176/3964] generating... response=1
[177/3964] generating... response=1
[178/3964] generating... response=1
[179/3964] generating... response=1
[180/3964] generating... response=0
[181/3964] generating... response=1
[182/3964] generating... response=1
[183/3964] generating... response=1
[184/3964] generating... response=1
[185/3964] generating... response=0
[186/3964] generating... response=0
[187/3964] generating... response=1
[188/3964] generating... response=1
[189/3964] generating... response=1
[190/3964] generating... response=1
[191/3964] generating... response=0
[192/3964] generating... response=1
[193/3964] generating... response=0
[194/3964] generating... response=1
[195/3964] generating... response=1
[196/3964] generating... response=0
[197/3964] generating... response=0
[198/3964] generating... response=1
[199/3964] generating... response=1
[200/3964] generating... response=0
[201/3964] generating... response=0
[202/3964] generating... response=1
[203/3964] generating... response=1
[204/3964] generating... response=0
[205/3964] generating... response=1
[206/3964] generating... response=0
[207/3964] generating... response=1
[208/3964] generating... response=1
[209/3964] generating... response=1
[210/3964] generating... response=1
[211/3964] generating... response=1
[212/3964] generating... response=1
[213/3964] generating... response=1
[214/3964] generating... response=1
[215/3964] generating... response=1
[216/3964] generating... response=1
[217/3964] generating... response=1
[218/3964] generating... response=1
[219/3964] generating... response=1
[220/3964] generating... response=1
[221/3964] generating... response=1
